"id","type","dc.identifier","dc.language","dc.source","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"omg_catalog:codelijst","dcat:Catalog","","","","","","","","","","","","","","","","","","","omg_dataset:codelijst-sommatie_stoffen","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-sommatie_stoffen","dcat:Dataset","","","","omg_dataset:codelijst-sommatie_stoffen.1.1.2","","","","","","","","","","","","Thesaurus van groepen en sommaties van chemische stoffen","","","","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-sommatie_stoffen.1.1.2","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-sommatie_stoffen.1.1.2","nl","","","Codelijst sommatie_stoffen Dataset","Deze dataset bevat een lijst van sommaties en groepen van chemische stoffen, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.","omg_dataset:codelijst-sommatie_stoffen.1.1.2","2023-02-21","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Thesaurus van groepen en sommaties van chemische stoffen","omg_conceptscheme:sommatie_stoffen","Dataset Codelijst sommatie_stoffen","1.1.2","omg_vcard:helpdesk","","access_right:PUBLIC","https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html","","https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-sommatie_stoffen.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-sommatie_stoffen_csv.1.1.2|omg_distribution:codelijst-sommatie_stoffen_jsonld.1.1.2|omg_distribution:codelijst-sommatie_stoffen_ttl.1.1.2|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-sommatie_stoffen.1.1.2","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087","","","","","","","","",""
"omg_distribution:codelijst-sommatie_stoffen_csv.1.1.2","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-sommatie_stoffen_csv.1.1.2","","","","","Codelijst sommatie_stoffen, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-sommatie_stoffen_csv.1.1.2","2023-02-21","","","","ovo:OVO003751","","Codelijst sommatie_stoffen in text/csv formaat.","","Codelijst sommatie_stoffen, in text/csv formaat.","1.1.2","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-sommatie_stoffen_csv.html","","","","","file_type:CSV","https://github.com/milieuinfo/codelijst-sommatie_stoffen.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-sommatie_stoffen/codelijst-sommatie_stoffen-1.1.2/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/sommatie_stoffen/sommatie_stoffen.csv","https://www.iana.org/assignments/media-types/text/csv","","","",""
"omg_distribution:codelijst-sommatie_stoffen_jsonld.1.1.2","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-sommatie_stoffen_jsonld.1.1.2","","","","","Codelijst sommatie_stoffen, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-sommatie_stoffen_jsonld.1.1.2","2023-02-21","","","","ovo:OVO003751","","Codelijst sommatie_stoffen in jsonld rdf-formaat.","","Codelijst sommatie_stoffen, in jsonld rdf-formaat.","1.1.2","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-sommatie_stoffen_jsonld.html","","","","","file_type:JSON_LD","https://github.com/milieuinfo/codelijst-sommatie_stoffen.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-sommatie_stoffen/codelijst-sommatie_stoffen-1.1.2/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/sommatie_stoffen/sommatie_stoffen.jsonld","https://www.iana.org/assignments/media-types/application/ld+json","","","",""
"omg_distribution:codelijst-sommatie_stoffen_ttl.1.1.2","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-sommatie_stoffen_ttl.1.1.2","","","","","Codelijst sommatie_stoffen, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-sommatie_stoffen_ttl.1.1.2","2023-02-21","","","","ovo:OVO003751","","Codelijst sommatie_stoffen in Turtle rdf-formaat.","","Codelijst sommatie_stoffen, in Turtle rdf-formaat.","1.1.2","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-sommatie_stoffen_ttl.html","","","","","file_type:RDF_TURTLE","https://github.com/milieuinfo/codelijst-sommatie_stoffen.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-sommatie_stoffen/codelijst-sommatie_stoffen-1.1.2/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/sommatie_stoffen/sommatie_stoffen.ttl","https://www.iana.org/assignments/media-types/text/turtle","","","",""
"omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-sommatie_stoffen.1.1.2","spdx:Package|dcat:Distribution","be.vlaanderen.omgeving.data.id.graph.codelijst-sommatie_stoffen.1.1.2","","","","","Codelijst sommatie_stoffen, Jar maven package.","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-sommatie_stoffen.1.1.2","2023-02-21","","","","ovo:OVO003751","","Codelijst sommatie_stoffen in jar-formaat.","","Package codelijst-sommatie_stoffen","1.1.2","","","access_right:PUBLIC","","","","","","","","file_type:JAR","","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-sommatie_stoffen/1.1.2/codelijst-sommatie_stoffen-1.1.2.jar","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-sommatie_stoffen/1.1.2/codelijst-sommatie_stoffen-1.1.2.jar","codelijst-sommatie_stoffen-1.1.2.jar","be.vlaanderen.omgeving.data.id.graph.codelijst-sommatie_stoffen","1.1.2"
