uri,prefLabel,prefLabel_en,casNumber,ecNumber,altLabel,altLabel_en,comment,definition,broader,broadMatch,collections,exactMatch,narrowMatch,notation,pubchem,source,theme,topConceptOf,inScheme,belongsTo,validatiestatus
3_4cfol,3+4-Chloorfenol,,,,,,,,,,collectie:water,,chemische_stof:HORNXRXVQWOLPJ-UHFFFAOYSA-N|chemische_stof:WXNZTHHGJRFXKQ-UHFFFAOYSA-N,3+4CFol,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
3_4eyfol,3+4-Ethylfenol,,,,,,,,,,collectie:water,,chemische_stof:HMNKTRSOROOSPP-UHFFFAOYSA-N|chemische_stof:HXDOZKJGKXYMEW-UHFFFAOYSA-N,3+4EyFol,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
3_4myfol,3+4-Methylfenol,,,,,,,,,,collectie:water,,chemische_stof:IWDCLRJOBJJRNH-UHFFFAOYSA-N|chemische_stof:RLSSMJSEOOYNOY-UHFFFAOYSA-N,3+4MyFol,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
4eyfol___35myfol,"4-ethylfenol + 3,5 dimethylfenol",,,,,,,,,,collectie:water,,chemische_stof:HXDOZKJGKXYMEW-UHFFFAOYSA-N|chemische_stof:QWBBPBRQALCEIZ-UHFFFAOYSA-N,4EyFol + 35MyFol,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
7_metalen_opg_,"som van 7 metalen opgelost ...,Cu,Hg,Pb",,,,,,,,,,collectie:water,,,7 metalen opg.,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
7_metalen_totaal,"som 7 metalen totaal Cr,Zn,Pb,Ni,As,Mn,Cu",,,,,,,,,,collectie:water,,,7 metalen totaal,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
8_metalen_totaal,"som van 8 totale metalen Cr,Cu,Pb,Mn,Fe,Zn,Ni,Co",,,,,,,,,,collectie:water,,,8 metalen totaal,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
9_metalen_totaal,"som van 9 metalen t ...,Sb,Ba,Se,As",,,,,,,,,,collectie:water,,,9 metalen totaal,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
ac_acrol,Aceton+Acroleïne,,,,,,,,,,collectie:water,,chemische_stof:CSCPPACGZOOCGX-UHFFFAOYSA-N,Ac+Acrol,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
acrylaatpolymeren,acrylaatpolymeren,,,,,,,,,,collectie:water,,,acrylaatpolymeren,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
